City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Cape Town,ZA,2022-09-22 17:01:37,-33.9258,18.4232,57.09,84,100,5.01
113,Shenzhen,CN,2022-09-22 17:00:01,22.5455,114.0683,84.07,86,15,2.48
114,Khatanga,RU,2022-09-22 17:03:34,71.9667,102.5,21.79,83,17,12.46
115,Pimenta Bueno,BR,2022-09-22 17:03:34,-11.6725,-61.1936,93.04,35,90,3.51
116,Teknaf,BD,2022-09-22 17:03:35,20.8624,92.3058,80.02,85,69,2.26
117,Itaberai,BR,2022-09-22 17:03:35,-16.0203,-49.8103,91.11,32,83,10.02
118,Blackfoot,US,2022-09-22 17:00:40,43.1905,-112.345,53.73,48,75,18.12
119,Codrington,AU,2022-09-22 17:03:35,-38.2667,141.9667,48.9,93,72,5.7
120,Hayden,US,2022-09-22 17:00:06,47.766,-116.7866,56.55,85,100,3.0
121,Airai,TL,2022-09-22 17:03:36,-8.9266,125.4092,59.29,58,94,2.89
122,Klaksvik,FO,2022-09-22 17:03:36,62.2266,-6.589,52.72,83,17,16.8
123,Qaanaaq,GL,2022-09-22 17:03:37,77.484,-69.3632,20.89,63,20,6.82
124,Guerrero Negro,MX,2022-09-22 17:02:13,27.9769,-114.0611,77.83,61,46,5.3
125,Omboue,GA,2022-09-22 17:03:37,-1.5746,9.2618,78.3,78,67,9.17
126,Troitsko-Pechorsk,RU,2022-09-22 17:03:37,62.7084,56.1964,39.07,85,9,4.47
127,Kruisfontein,ZA,2022-09-22 17:03:38,-34.0033,24.7314,59.34,71,89,8.93
128,Morros,BR,2022-09-22 17:03:38,-9.4467,-46.3003,98.62,22,58,3.69
129,Manaure,CO,2022-09-22 17:03:39,11.7751,-72.4445,84.81,65,88,6.13
130,Jam Sahib,PK,2022-09-22 17:03:39,26.2958,68.6292,84.9,60,7,15.43
131,Fortuna,US,2022-09-22 17:03:39,40.5982,-124.1573,64.92,84,0,1.01
132,Springbok,ZA,2022-09-22 17:03:40,-29.6643,17.8865,52.11,46,62,9.51
133,Mayna,RU,2022-09-22 17:03:40,54.1135,47.6231,56.62,69,100,6.06
134,Wahiawa,US,2022-09-22 17:03:41,21.5028,-158.0236,73.18,85,61,3.18
135,Los Llanos De Aridane,ES,2022-09-22 17:03:41,28.6585,-17.9182,76.75,66,20,12.66
136,Tomatlan,MX,2022-09-22 17:03:41,19.9333,-105.25,86.16,65,74,2.42
137,Maceio,BR,2022-09-22 17:00:15,-9.6658,-35.7353,85.44,65,75,14.97
138,Hofn,IS,2022-09-22 17:03:42,64.2539,-15.2082,50.02,87,75,11.5
139,Nikolskoye,RU,2022-09-22 17:09:52,59.7035,30.7861,49.91,93,100,4.52
140,Carutapera,BR,2022-09-22 17:09:53,-1.195,-46.02,87.33,53,49,9.53
141,Madison Heights,US,2022-09-22 17:09:53,42.4859,-83.1052,61.9,61,75,13.8
142,Batagay-Alyta,RU,2022-09-22 17:09:54,67.8006,130.4114,28.71,70,100,2.77
143,Krasnorechenskiy,RU,2022-09-22 17:04:44,44.6265,135.3532,41.94,96,98,1.1
144,Jiexiu,CN,2022-09-22 17:04:44,37.0244,111.9125,53.65,25,50,5.3
145,Nome,US,2022-09-22 17:07:16,64.5011,-165.4064,44.67,93,100,13.8
146,Upernavik,GL,2022-09-22 17:09:55,72.7868,-56.1549,32.36,55,100,3.96
147,Lagoa,PT,2022-09-22 17:04:45,39.05,-27.9833,74.3,81,78,15.03
148,Poum,NC,2022-09-22 17:04:45,-20.2333,164.0167,75.34,71,96,12.93
149,Cayenne,GF,2022-09-22 17:04:46,4.9333,-52.3333,91.44,55,0,11.5
150,Buala,SB,2022-09-22 17:04:46,-8.145,159.5921,77.85,81,19,2.08
151,Kodiak,US,2022-09-22 17:04:46,57.79,-152.4072,42.31,87,40,5.75
152,Palana,RU,2022-09-22 17:04:47,59.1167,159.9667,40.87,68,86,23.8
153,Llaillay,CL,2022-09-22 17:04:47,-32.85,-70.9667,72.25,14,0,5.03
154,Hervey Bay,AU,2022-09-22 17:04:47,-25.2986,152.8535,66.34,88,1,3.31
155,Maneadero,MX,2022-09-22 17:04:48,31.7167,-116.5667,72.1,77,24,4.0
156,Cidreira,BR,2022-09-22 17:03:36,-30.1811,-50.2056,64.74,74,61,19.42
157,Domoni,KM,2022-09-22 17:04:49,-12.2569,44.5319,74.37,80,64,4.12
158,Meulaboh,ID,2022-09-22 17:04:49,4.1363,96.1285,77.47,83,100,4.88
159,Hovd,MN,2022-09-22 17:04:49,48.0056,91.6419,52.68,34,1,1.52
160,Lata,PT,2022-09-22 17:04:50,40.1629,-8.3327,78.93,39,60,7.36
161,Asau,RO,2022-09-22 17:04:50,46.4333,26.4,47.32,87,95,2.17
162,Stokmarknes,NO,2022-09-22 17:04:50,68.5646,14.9108,55.38,76,40,6.91
163,Asosa,ET,2022-09-22 17:02:23,10.0667,34.5333,61.95,96,79,2.8
164,Adrar,MR,2022-09-22 17:04:51,20.5022,-10.0711,96.75,29,82,13.13
165,Seoul,KR,2022-09-22 17:00:00,37.5683,126.9778,65.64,82,0,1.14
166,Jishou,CN,2022-09-22 17:04:51,28.3167,109.7167,65.88,93,100,2.68
167,Torbay,CA,2022-09-22 17:03:20,47.6666,-52.7314,61.75,96,100,18.41
168,Butaritari,KI,2022-09-22 17:04:52,3.0707,172.7902,79.48,80,100,6.91
169,Hailar,CN,2022-09-22 17:04:52,49.2,119.7,40.03,86,51,6.58
170,Saint-Pierre,RE,2022-09-22 17:04:53,-21.3393,55.4781,71.28,78,75,6.91
171,Kayerkan,RU,2022-09-22 17:04:53,69.3497,87.7602,32.74,99,100,2.46
172,Bubaque,GW,2022-09-22 17:04:53,11.2833,-15.8333,77.67,87,100,11.32
173,Quatre Cocos,MU,2022-09-22 17:04:54,-20.2078,57.7625,72.09,84,25,17.81
174,Mahajanga,MG,2022-09-22 17:04:54,-15.7167,46.3167,83.16,49,91,13.62
175,Ixtapa,MX,2022-09-22 17:00:16,20.7,-105.2,86.23,73,77,1.99
176,Severo-Kurilsk,RU,2022-09-22 17:04:54,50.6789,156.125,50.13,76,4,13.38
177,Sao Felix Do Xingu,BR,2022-09-22 17:04:55,-6.6447,-51.995,98.28,26,68,2.08
178,Nuuk,GL,2022-09-22 17:04:26,64.1835,-51.7216,50.61,76,75,36.82
179,Narsaq,GL,2022-09-22 17:03:16,60.9167,-46.05,46.62,75,99,3.49
180,Henties Bay,NA,2022-09-22 17:04:55,-22.116,14.2845,57.94,80,4,10.63
181,Ahuimanu,US,2022-09-22 17:04:56,21.4447,-157.8378,76.17,87,20,4.61
182,Broken Hill,AU,2022-09-22 17:04:56,-31.95,141.4333,55.29,78,27,6.69
183,Newport,GB,2022-09-22 17:05:40,51.5877,-2.9984,66.69,75,100,13.82
184,Aloleng,PH,2022-09-22 17:05:57,16.1307,119.7824,80.58,77,86,0.38
185,Nanortalik,GL,2022-09-22 17:05:57,60.1432,-45.2371,45.16,95,96,6.33
186,Bahir Dar,ET,2022-09-22 17:05:58,11.5936,37.3908,62.87,86,80,2.82
187,Wewak,PG,2022-09-22 17:05:58,-3.5534,143.6268,77.31,87,98,5.12
188,Hvide Sande,DK,2022-09-22 17:05:58,56.0045,8.1294,57.09,74,100,14.7
189,Rio Branco,BR,2022-09-22 17:05:03,-9.9747,-67.81,95.61,41,40,10.36
190,Certegui,CO,2022-09-22 17:11:02,5.3707,-76.6044,86.88,61,97,1.5
191,Batsfjord,NO,2022-09-22 17:11:03,70.6345,29.7185,49.78,93,100,2.3
192,Kavaratti,IN,2022-09-22 17:11:03,10.5669,72.642,81.48,74,20,9.57
193,Itoman,JP,2022-09-22 17:11:03,26.1247,127.6694,80.62,92,40,6.91
194,Iqaluit,CA,2022-09-22 17:11:04,63.7506,-68.5145,34.7,43,86,11.99
195,Dwarka,IN,2022-09-22 17:11:04,22.2394,68.9678,80.78,71,75,10.89
196,Urumqi,CN,2022-09-22 17:06:01,43.801,87.6005,67.15,24,0,8.95
197,Rio Gallegos,AR,2022-09-22 17:06:01,-51.6226,-69.2181,59.05,25,20,12.66
198,Aklavik,CA,2022-09-22 17:06:02,68.2191,-135.0107,37.24,94,100,9.55
199,Sao Filipe,CV,2022-09-22 17:06:02,14.8961,-24.4956,79.41,80,95,10.87
200,Eirunepe,BR,2022-09-22 17:06:02,-6.6603,-69.8736,101.3,31,91,1.74
201,Huarmey,PE,2022-09-22 17:06:03,-10.0681,-78.1522,68.27,69,72,12.77
202,Alofi,NU,2022-09-22 17:06:03,-19.0595,-169.9187,76.46,81,4,23.94
203,Provideniya,RU,2022-09-22 17:06:04,64.3833,-173.3,41.5,92,76,3.02
204,Half Moon Bay,US,2022-09-22 17:06:04,37.4636,-122.4286,71.06,100,0,9.22
205,Luzino,RU,2022-09-22 17:06:05,54.9481,73.0353,63.77,39,0,11.18
206,Constitucion,CL,2022-09-22 17:04:03,-35.3333,-72.4167,59.9,58,8,16.46
207,Laguna,US,2022-09-22 17:06:05,38.421,-121.4238,73.29,67,0,10.36
208,Thompson,CA,2022-09-22 17:03:03,55.7435,-97.8558,56.07,45,49,12.41
209,Hokitika,NZ,2022-09-22 17:06:06,-42.7167,170.9667,45.7,70,0,5.66
210,Lincoln,US,2022-09-22 17:05:40,40.8,-96.667,60.71,69,0,5.75
211,Prince Rupert,CA,2022-09-22 17:06:06,54.3161,-130.3201,51.89,100,100,5.75
212,Kvareli,GE,2022-09-22 17:06:07,41.9524,45.8151,70.11,58,73,4.94
213,Kununurra,AU,2022-09-22 17:06:07,-15.7667,128.7333,78.78,78,40,5.75
214,Sorada,IN,2022-09-22 17:06:08,19.75,84.4333,79.07,89,82,1.63
215,Pangnirtung,CA,2022-09-22 17:06:08,66.1451,-65.7125,33.19,56,23,3.13
216,Kingisepp,RU,2022-09-22 17:06:10,59.3733,28.6134,46.81,73,98,4.43
217,Nouakchott,MR,2022-09-22 17:06:10,18.0858,-15.9785,93.13,65,100,7.99
218,Mangan,IN,2022-09-22 17:06:11,27.5167,88.5333,72.5,89,98,3.74
219,Trairi,BR,2022-09-22 17:06:07,-3.2778,-39.2689,86.67,53,28,15.59
220,Lompoc,US,2022-09-22 17:06:11,34.6391,-120.4579,79.84,69,0,11.5
221,Dodge City,US,2022-09-22 17:06:02,37.7528,-100.0171,53.26,94,100,11.5
222,Yellowknife,CA,2022-09-22 17:06:12,62.456,-114.3525,53.56,76,98,5.01
223,Olafsvik,IS,2022-09-22 17:06:13,64.8945,-23.7142,44.53,78,93,16.51
224,Polunochnoye,RU,2022-09-22 17:06:13,60.8697,60.4153,40.71,69,52,2.84
225,Ocos,GT,2022-09-22 17:06:13,14.5094,-92.1933,84.38,79,100,1.32
226,Neenah,US,2022-09-22 17:06:14,44.1858,-88.4626,60.55,60,75,16.11
227,Puerto Ayora,EC,2022-09-22 17:06:14,-0.7393,-90.3518,75.16,92,89,5.99
228,Khromtau,KZ,2022-09-22 17:06:15,50.2503,58.4347,67.3,24,1,8.46
229,Mahibadhoo,MV,2022-09-22 17:12:09,3.7833,72.9667,82.36,72,80,7.78
230,Iquique,CL,2022-09-22 17:12:10,-20.2208,-70.1431,59.04,67,40,3.85
231,Kabare,CD,2022-09-22 17:12:10,-2.4683,28.8242,66.25,78,100,2.51
232,Dumabato,PH,2022-09-22 17:12:11,16.3167,121.7,70.54,95,98,0.96
233,Bodden Town,KY,2022-09-22 17:12:12,19.2833,-81.25,87.93,66,40,5.75
234,Kutum,SD,2022-09-22 17:12:12,14.2,24.6667,84.11,23,35,7.63
235,Gisborne,NZ,2022-09-22 17:12:12,-38.6533,178.0042,57.47,98,100,7.96
236,Chokurdakh,RU,2022-09-22 17:12:13,70.6333,147.9167,33.44,92,100,6.85
237,Ancud,CL,2022-09-22 17:12:13,-41.8697,-73.8203,53.22,95,100,3.09
238,Shemonaikha,KZ,2022-09-22 17:12:14,50.6328,81.9056,61.75,41,0,8.16
239,Labuhan,ID,2022-09-22 17:12:14,-6.8844,112.2051,79.18,81,87,6.17
240,Rawson,AR,2022-09-22 17:10:50,-43.3002,-65.1023,56.95,51,96,9.48
241,Port-Gentil,GA,2022-09-22 17:12:15,-0.7193,8.7815,80.56,78,40,14.97
242,Saldanha,ZA,2022-09-22 17:12:15,-33.0117,17.9442,57.6,77,100,9.35
243,Tessalit,ML,2022-09-22 17:12:16,20.1986,1.0114,101.57,11,83,12.15
244,Tahoua,NE,2022-09-22 17:12:16,14.8888,5.2692,99.34,20,28,9.55
245,Boa Vista,BR,2022-09-22 17:09:00,2.8197,-60.6733,91.38,46,40,9.22
246,Sulangan,PH,2022-09-22 17:08:53,11.1373,123.7228,82.17,79,100,7.65
247,Souillac,MU,2022-09-22 17:12:17,-20.5167,57.5167,71.98,83,75,12.66
248,Virginia Beach,US,2022-09-22 17:09:28,36.8529,-75.978,93.27,50,40,11.5
249,Matagami,CA,2022-09-22 17:12:17,49.7502,-77.6328,41.11,93,100,17.27
250,Kharp,RU,2022-09-22 17:12:18,66.8014,65.8081,36.0,75,67,21.99
251,Lumphat,KH,2022-09-22 17:12:18,13.4878,106.9816,73.74,100,100,1.32
252,Yacuiba,BO,2022-09-22 17:12:19,-22.038,-63.6797,66.97,45,75,11.5
253,Alihe,CN,2022-09-22 17:12:19,50.5667,123.7167,42.53,95,100,5.08
254,Tangzhai,CN,2022-09-22 17:12:20,34.4328,116.5911,68.16,27,21,17.81
255,Koslan,RU,2022-09-22 17:12:20,63.4564,48.8989,39.99,86,56,3.51
256,Tahta,EG,2022-09-22 17:12:20,26.7693,31.5021,92.35,21,0,7.94
257,Baruun-Urt,MN,2022-09-22 17:12:21,46.6806,113.2792,37.27,67,31,7.65
258,Namibe,AO,2022-09-22 17:12:21,-15.1961,12.1522,67.3,82,18,15.08
259,Eyl,SO,2022-09-22 17:12:21,7.9803,49.8164,78.04,80,17,19.08
260,Thunder Bay,CA,2022-09-22 17:09:20,48.4001,-89.3168,51.57,49,23,10.0
261,Norman Wells,CA,2022-09-22 17:12:22,65.282,-126.8329,44.64,87,75,0.0
262,Bairiki,KI,2022-09-22 17:12:23,1.3292,172.9752,80.6,83,75,5.75
263,Muli,MV,2022-09-22 17:12:23,2.9167,73.5667,83.07,71,46,10.31
264,Kailahun,SL,2022-09-22 17:12:23,8.2833,-10.5667,77.74,90,99,2.95
265,Tautira,PF,2022-09-22 17:12:24,-17.7333,-149.15,76.89,76,25,16.11
266,Nyurba,RU,2022-09-22 17:12:25,63.2842,118.3319,25.66,79,5,4.88
267,Wanning,CN,2022-09-22 17:12:25,18.8003,110.3967,77.38,88,99,2.59
268,Vardo,NO,2022-09-22 17:12:25,70.3705,31.1107,48.18,100,100,3.44
269,Garowe,SO,2022-09-22 17:12:26,8.4054,48.4845,84.6,48,79,21.41
270,Socorro,US,2022-09-22 17:09:29,31.6546,-106.3033,88.48,39,20,6.91
271,Tenenkou,ML,2022-09-22 17:13:27,14.4572,-4.9169,93.04,39,23,1.77
272,Peniche,PT,2022-09-22 17:13:27,39.3558,-9.3811,77.07,86,11,7.61
273,Kattivakkam,IN,2022-09-22 17:13:28,13.2167,80.3167,89.69,69,89,10.25
274,Takab,IR,2022-09-22 17:13:29,36.4009,47.1133,64.56,42,69,5.66
275,Manta,EC,2022-09-22 17:13:29,-0.95,-80.7333,76.78,69,100,6.91
276,Victoria,HK,2022-09-22 17:08:46,22.2855,114.1577,84.18,82,20,5.01
277,Ostrovnoy,RU,2022-09-22 17:13:30,68.0531,39.5131,46.36,95,100,3.91
278,Rovaniemi,FI,2022-09-22 17:13:31,66.5,25.7167,49.41,87,75,8.05
279,Camopi,GF,2022-09-22 17:13:31,3.1655,-52.3158,98.2,27,0,4.47
280,Gizo,SB,2022-09-22 17:13:31,-8.103,156.8419,80.24,76,64,5.79
281,Irati,BR,2022-09-22 17:13:32,-25.4672,-50.6511,62.35,81,93,5.91
282,Vao,NC,2022-09-22 17:13:32,-22.6667,167.4833,71.85,75,50,13.78
283,Lianran,CN,2022-09-22 17:13:32,24.9227,102.485,59.95,93,72,2.68
284,Rosaryville,US,2022-09-22 17:13:33,38.7568,-76.8097,74.64,85,100,12.66
285,Sribne,UA,2022-09-22 17:13:33,50.6638,32.9187,46.81,88,67,4.34
286,Sitka,US,2022-09-22 17:12:50,57.0531,-135.33,51.69,82,40,4.61
287,Dromolaxia,CY,2022-09-22 17:13:34,34.8761,33.586,78.46,65,20,11.99
288,Pisco,PE,2022-09-22 17:10:09,-13.7,-76.2167,66.25,68,0,8.05
289,Simplicio Mendes,BR,2022-09-22 17:13:34,-7.8539,-41.9103,102.33,21,1,4.07
290,Lavrentiya,RU,2022-09-22 17:13:34,65.5833,-171.0,41.97,96,100,2.68
291,Roma,US,2022-09-22 17:13:35,43.2128,-75.4557,64.54,64,0,18.41
292,Faya,SA,2022-09-22 17:13:35,18.3851,42.4509,68.52,52,64,2.89
293,Tiznit,MA,2022-09-22 17:13:36,29.5833,-9.5,79.16,37,1,7.7
294,Pipar,IN,2022-09-22 17:13:36,26.3856,73.5378,84.29,62,98,3.53
