City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
207,Pangkalanbuun,ID,2022-09-25 03:18:46,-2.6833,111.6167,86.32,57,99,4.36,overcast clouds
208,Seydi,TM,2022-09-25 03:18:46,39.4816,62.9137,76.96,17,0,5.7,clear sky
209,Chateaubelair,VC,2022-09-25 03:18:46,13.2833,-61.25,80.13,77,41,8.66,scattered clouds
210,Nsoko,SZ,2022-09-25 03:18:47,-27.0333,31.95,63.66,91,0,3.44,clear sky
211,Dalen,NL,2022-09-25 03:18:47,52.6992,6.7556,49.05,76,94,7.11,overcast clouds
212,Grand Forks,US,2022-09-25 03:15:44,47.9417,-97.4337,53.33,87,0,6.91,clear sky
213,Port Hardy,CA,2022-09-25 03:18:48,50.6996,-127.4199,57.38,100,100,3.44,overcast clouds
214,Saint-Philippe,RE,2022-09-25 03:18:48,-21.3585,55.7679,69.39,78,69,11.95,broken clouds
215,Hay River,CA,2022-09-25 03:18:49,60.8156,-115.7999,42.78,65,20,3.44,few clouds
216,Zorritos,PE,2022-09-25 03:18:49,-3.6805,-80.6782,70.09,76,76,3.51,broken clouds
217,Port Hedland,AU,2022-09-25 03:18:50,-20.3167,118.5667,95.05,16,1,6.91,clear sky
218,Alyangula,AU,2022-09-25 03:18:50,-13.8483,136.4192,85.91,49,75,3.4,broken clouds
219,Airai,TL,2022-09-25 03:18:51,-8.9266,125.4092,79.99,34,63,4.99,broken clouds
220,Maniitsoq,GL,2022-09-25 03:18:51,65.4167,-52.9,36.12,64,45,8.28,scattered clouds
221,Beira,MZ,2022-09-25 03:18:51,-19.8436,34.8389,69.85,91,6,2.68,clear sky
222,Petropavlovsk-Kamchatskiy,RU,2022-09-25 03:18:52,53.0452,158.6483,45.19,100,100,4.47,light intensity shower rain
223,Parakou,BJ,2022-09-25 03:18:52,9.3372,2.6303,70.47,98,29,4.59,scattered clouds
224,Rheden,NL,2022-09-25 03:18:53,52.0167,6.05,51.94,94,100,5.79,overcast clouds
225,Takhtamygda,RU,2022-09-25 03:18:53,54.1,123.5667,50.63,61,31,5.73,scattered clouds
226,San Quintin,MX,2022-09-25 03:18:54,30.4833,-115.95,74.05,75,62,10.83,broken clouds
227,Smolyaninovo,RU,2022-09-25 03:18:54,43.2956,132.4675,67.46,50,100,5.64,overcast clouds
228,Khash,IR,2022-09-25 03:18:55,28.2211,61.2158,71.08,10,1,2.57,clear sky
229,Fairbanks,US,2022-09-25 03:15:28,64.8378,-147.7164,51.8,66,0,5.75,clear sky
230,Kirkuk,IQ,2022-09-25 03:19:55,35.4681,44.3922,74.91,39,0,6.04,clear sky
231,Dakar,SN,2022-09-25 03:19:56,14.6937,-17.4441,74.28,79,89,8.39,overcast clouds
232,Pevek,RU,2022-09-25 03:19:56,69.7008,170.3133,31.46,75,100,8.08,overcast clouds
233,Ostrovnoy,RU,2022-09-25 03:19:56,68.0531,39.5131,39.24,82,100,9.57,overcast clouds
234,Indergarh,IN,2022-09-25 03:19:57,26.9352,79.6724,80.46,80,71,6.29,broken clouds
235,Estelle,US,2022-09-25 03:19:57,29.8458,-90.1067,84.2,67,0,3.44,clear sky
236,Derzhavinsk,KZ,2022-09-25 03:19:57,51.1,66.3167,69.12,29,88,10.85,overcast clouds
237,Novyy Urengoy,RU,2022-09-25 03:19:58,66.0833,76.6333,30.87,75,100,15.01,overcast clouds
238,Cabedelo,BR,2022-09-25 03:19:58,-6.9811,-34.8339,74.07,70,51,11.43,broken clouds
239,Richmond,US,2022-09-25 03:14:59,37.5538,-77.4603,65.19,64,40,10.36,scattered clouds
240,Bontang,ID,2022-09-25 03:19:59,0.1333,117.5,84.24,65,96,7.11,overcast clouds
241,Khatanga,RU,2022-09-25 03:19:59,71.9667,102.5,25.95,74,27,9.4,scattered clouds
242,Camapua,BR,2022-09-25 03:20:00,-19.5314,-54.0439,72.36,41,86,9.64,overcast clouds
243,Kemijarvi,FI,2022-09-25 03:20:00,66.7131,27.4306,36.1,84,9,1.72,clear sky
244,Sherlovaya Gora,RU,2022-09-25 03:20:01,50.5667,116.25,43.29,44,72,20.8,broken clouds
245,Talcahuano,CL,2022-09-25 03:15:26,-36.7167,-73.1167,49.68,81,0,9.22,clear sky
246,Saldanha,ZA,2022-09-25 03:20:01,-33.0117,17.9442,44.65,88,100,0.94,overcast clouds
247,Chokurdakh,RU,2022-09-25 03:20:02,70.6333,147.9167,36.16,61,38,5.21,scattered clouds
248,Mardin,TR,2022-09-25 03:20:02,37.3131,40.7436,63.66,30,20,16.11,few clouds
249,Kosino,RU,2022-09-25 03:20:03,58.4127,51.2782,47.48,96,100,1.05,overcast clouds
250,Filadelfia,US,2022-09-25 03:16:38,39.9523,-75.1638,62.49,70,75,10.36,broken clouds
251,Guayanilla,PR,2022-09-25 03:20:04,18.0191,-66.7918,78.15,89,75,1.01,broken clouds
252,Kashi,CN,2022-09-25 03:20:04,39.4547,75.9797,67.21,39,20,4.47,few clouds
253,Ulladulla,AU,2022-09-25 03:20:05,-35.35,150.4667,68.77,64,29,8.57,scattered clouds
254,Mathathane,BW,2022-09-25 03:20:05,-22.2687,28.7495,67.98,47,0,9.19,clear sky
255,Popondetta,PG,2022-09-25 03:20:05,-8.7537,148.2534,90.64,50,53,8.12,broken clouds
256,Mahibadhoo,MV,2022-09-25 03:20:06,3.7833,72.9667,83.48,73,77,14.76,broken clouds
257,Havelock,US,2022-09-25 03:20:06,34.8791,-76.9013,75.18,73,68,6.11,broken clouds
258,Jamiltepec,MX,2022-09-25 03:20:07,16.2833,-97.8167,72.39,96,100,1.41,overcast clouds
